t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKING,0,-2.295000,0.000000,0.000000,0.000000,0.338900,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,0,0.000000,0.000000,1.635000,0,0,-0.000600,1.075900,68.3305
0.502,LOCKED,1,-2.291000,0.023100,0.029900,0.000900,0.034700,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.268400,0.963300,0.271700,0.025000,0.934500,0.023100,-0.000000,0.000000,1,0,1,1,1,1,1.000000,0.004600,1.635000,0,2,-0.000600,1.075900,20.8658
1.007,LOCKED,1,-2.273000,0.037000,0.058800,0.001400,0.028300,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.256800,0.966500,0.259700,0.037000,0.946500,0.037100,-0.000200,0.000000,1,0,1,1,1,1,1.000000,0.022000,1.635000,0,5,-0.000600,1.075900,18.8607
1.507,LOCKED,1,-2.276000,-0.004700,0.069900,0.001500,0.028000,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.270200,0.962800,0.273600,0.023100,0.946900,-0.004500,-0.000200,0.000000,1,0,1,1,1,1,1.000000,0.019400,1.635000,0,7,-0.000600,1.075900,18.7616
2.012,LOCKED,1,-2.279000,-0.006100,0.078800,0.001700,0.026800,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.290900,0.956700,0.295200,0.001500,0.949200,-0.006000,-0.000200,0.000000,1,0,1,1,1,1,1.000000,0.016200,1.635000,0,10,-0.000600,1.075900,18.3603
2.515,LOCKED,1,-2.281000,-0.004500,0.081800,0.001700,0.026200,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.297900,0.954600,0.302500,-0.005800,0.950200,-0.004400,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.014900,1.635000,0,12,-0.000600,1.075900,18.1565
3.021,LOCKED,1,-2.282000,-0.002000,0.083900,0.001800,0.025500,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.304400,0.952500,0.309300,-0.012600,0.951600,-0.001900,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.013500,1.635000,0,15,-0.000600,1.075900,17.9158
3.526,LOCKED,1,-2.282000,0.000300,0.084400,0.001800,0.025100,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.302100,0.953300,0.306900,-0.010200,0.952300,0.000500,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.013600,1.635000,0,17,-0.000600,1.075900,17.7769
4.030,LOCKED,1,-2.282000,-0.000500,0.084700,0.001800,0.024700,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.301800,0.953400,0.306600,-0.009900,0.953000,-0.000400,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.013700,1.635000,0,20,-0.000600,1.075900,17.6369
4.532,LOCKED,1,-2.282000,-0.001100,0.084600,0.001800,0.024500,5.450000,-2.810000,2.640000,-0.085000,-2.295278,nan,nan,0.304500,0.952500,0.309400,-0.012700,0.953500,-0.001000,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.013300,1.635000,0,22,-0.000600,1.075900,17.5665
