t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v
0.000,LOCKING,0,-1.491000,0.000000,0.000000,0.000900,0.069400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
1.003,LOCKING,0,-0.982000,0.163300,0.220500,0.000800,0.205600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
2.005,LOCKING,0,-0.301000,0.139200,0.253500,0.000700,0.382300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
3.010,LOCKING,0,0.347000,0.113900,0.255800,0.000600,0.549000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
4.015,LOCKING,0,0.659000,0.044600,0.238700,0.000500,0.654300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
5.018,LOCKING,0,0.676000,-0.001700,0.237500,0.000400,0.672400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
6.023,LOCKING,0,0.678000,0.000200,0.239700,0.000300,0.676600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
7.026,LOCKING,0,0.686000,0.004400,0.239200,0.000300,0.677000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
8.028,LOCKING,0,0.676000,-0.001000,0.239200,0.000300,0.679000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
9.033,LOCKING,0,0.682000,0.000800,0.239600,0.000300,0.680800,5.444000,-2.852000,2.573000,-0.139000,-1.491000
10.038,LOCKING,0,0.683000,0.004200,0.237500,0.000300,0.679700,5.444000,-2.852000,2.573000,-0.139000,-1.491000
11.044,LOCKING,0,0.681000,0.002500,0.237700,0.000400,0.681000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
12.050,LOCKING,0,0.682000,0.001500,0.238400,0.000400,0.683000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
13.057,LOCKING,0,0.668000,-0.006000,0.238300,0.000400,0.683500,5.444000,-2.852000,2.573000,-0.139000,-1.491000
14.058,LOCKING,0,0.681000,0.001000,0.238500,0.000400,0.684300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
15.063,LOCKING,0,0.673000,-0.003100,0.237600,0.000400,0.685400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
16.068,LOCKING,0,0.680000,0.000400,0.237600,0.000400,0.685800,5.444000,-2.852000,2.573000,-0.139000,-1.491000
17.073,LOCKING,0,0.680000,0.000700,0.237000,0.000400,0.685400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
18.075,LOCKING,0,0.671000,-0.004200,0.237600,0.000400,0.687100,5.444000,-2.852000,2.573000,-0.139000,-1.491000
19.079,LOCKING,0,0.668000,-0.006100,0.237500,0.000400,0.688300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
20.084,LOCKING,0,-1.491000,0.000000,0.000300,0.000000,0.343100,5.444000,-2.852000,2.573000,-0.139000,-1.491000
21.089,LOCKING,0,-1.663000,-0.035200,0.166000,0.000400,0.108700,5.444000,-2.852000,2.573000,-0.139000,-1.491000
22.093,LOCKED,1,-1.611000,0.001400,0.164900,0.000500,0.108200,5.444000,-2.852000,2.573000,-0.139000,-1.491000
23.097,LOCKED,1,-1.625000,-0.006500,0.164600,0.000400,0.107000,5.444000,-2.852000,2.573000,-0.139000,-1.491000
24.101,LOCKED,1,-1.615000,-0.000600,0.163900,0.000400,0.106300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
25.106,LOCKED,1,-1.611000,0.002500,0.163600,0.000400,0.105400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
26.111,LOCKED,1,-1.605000,0.005300,0.163300,0.000400,0.104900,5.444000,-2.852000,2.573000,-0.139000,-1.491000
27.113,LOCKED,1,-1.624000,-0.006200,0.163200,0.000400,0.105500,5.444000,-2.852000,2.573000,-0.139000,-1.491000
28.118,LOCKED,1,-1.614000,0.000400,0.162800,0.000400,0.104600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
29.123,LOCKED,1,-1.609000,0.002400,0.163000,0.000400,0.104500,5.444000,-2.852000,2.573000,-0.139000,-1.491000
30.128,LOCKED,1,-1.617000,-0.002900,0.162900,0.000400,0.104800,5.444000,-2.852000,2.573000,-0.139000,-1.491000
31.133,LOCKED,1,-1.611000,0.002700,0.162500,0.000400,0.103700,5.444000,-2.852000,2.573000,-0.139000,-1.491000
32.137,LOCKED,1,-1.609000,0.002100,0.162500,0.000400,0.104100,5.444000,-2.852000,2.573000,-0.139000,-1.491000
33.139,LOCKED,1,-1.612000,0.000800,0.162700,0.000400,0.103800,5.444000,-2.852000,2.573000,-0.139000,-1.491000
34.144,LOCKED,1,-1.618000,-0.003300,0.162600,0.000400,0.104300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
35.145,LOCKED,1,-1.605000,0.005100,0.162300,0.000400,0.103400,5.444000,-2.852000,2.573000,-0.139000,-1.491000
36.150,LOCKED,1,-1.616000,-0.001400,0.162500,0.000400,0.103600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
37.154,LOCKED,1,-1.625000,-0.007300,0.162600,0.000400,0.104200,5.444000,-2.852000,2.573000,-0.139000,-1.491000
38.158,LOCKED,1,-1.605000,0.006500,0.161700,0.000400,0.102600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
39.161,LOCKED,1,-1.622000,-0.005800,0.162200,0.000400,0.104100,5.444000,-2.852000,2.573000,-0.139000,-1.491000
40.161,LOCKED,1,-1.612000,0.000800,0.162000,0.000400,0.103300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
41.166,LOCKED,1,-1.612000,0.000100,0.162100,0.000400,0.103300,5.444000,-2.852000,2.573000,-0.139000,-1.491000
42.171,LOCKED,1,-1.624000,-0.006600,0.161900,0.000400,0.103600,5.444000,-2.852000,2.573000,-0.139000,-1.491000
