t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v
0.000,LOCKING,0,-1.755000,0.131600,0.000000,0.000000,0.347300,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.585970
1.002,LOCKED,1,-1.427000,-0.001700,0.206300,0.000200,0.266600,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.666700
2.007,LOCKING,0,-1.697000,-0.147700,0.223400,0.001000,0.211700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.721620
3.010,LOCKING,0,-2.028000,-0.101700,0.191000,0.001800,0.130500,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.802830
4.017,LOCKED,1,-2.101000,0.018000,0.168100,0.001200,0.102400,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.830900
5.021,LOCKING,0,-1.973000,0.060000,0.170300,0.001500,0.120700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.812580
6.025,LOCKED,1,-1.875000,0.021700,0.183600,0.000500,0.143000,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.790280
7.029,LOCKED,1,-1.869000,-0.007900,0.187000,0.001800,0.146000,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.787360
8.034,LOCKED,1,-1.898000,-0.010500,0.184900,0.000500,0.139300,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.794010
9.039,LOCKED,1,-1.911000,-0.001700,0.183200,0.000400,0.134700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.798660
10.045,LOCKED,1,-1.906000,0.004200,0.182500,0.000500,0.134400,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.798940
11.050,LOCKED,1,-1.893000,0.005300,0.182400,0.000400,0.136100,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.797250
12.052,LOCKED,1,-1.882000,0.003600,0.182700,0.000400,0.137800,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795490
13.052,LOCKED,1,-1.876000,0.001400,0.183100,0.001000,0.138400,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.794940
14.056,LOCKED,1,-1.874000,0.000400,0.183200,0.001200,0.138200,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795150
15.060,LOCKED,1,-1.873000,0.000700,0.182900,0.001300,0.137700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795590
16.060,LOCKED,1,-1.870000,0.001300,0.182900,0.001600,0.137800,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795550
17.065,LOCKED,1,-1.867000,0.001200,0.183000,0.001800,0.137900,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795410
18.070,LOCKED,1,-1.864000,0.001000,0.183000,0.002000,0.137900,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795410
19.075,LOCKED,1,-1.862000,0.000800,0.183100,0.002200,0.137900,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795390
20.079,LOCKED,1,-1.860000,0.000700,0.183200,0.002400,0.137800,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795480
21.084,LOCKED,1,-1.858000,0.000700,0.183200,0.002400,0.137700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795610
22.086,LOCKED,1,-1.856000,0.000700,0.183300,0.002600,0.137700,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795640
23.090,LOCKED,1,-1.854000,0.000600,0.183400,0.002700,0.137600,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795670
24.096,LOCKED,1,-1.853000,0.000500,0.183400,0.002700,0.137400,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.795890
25.101,LOCKED,1,-1.852000,0.000600,0.183400,0.002800,0.137200,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.796120
26.102,LOCKED,1,-1.850000,0.000700,0.183500,0.002800,0.137200,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.796080
27.104,LOCKED,1,-1.849000,0.000600,0.183600,0.002900,0.137200,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.796100
28.107,LOCKED,1,-1.847000,0.000400,0.183700,0.002900,0.137100,5.454000,-3.165000,2.259000,-0.453000,-1.801500,0.933310,-0.796230
