t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v
0.000,LOCKING,0,2.573000,0.000000,0.001600,0.000300,0.814200,5.444000,-2.852000,2.573000,-0.139000,2.573000
1.004,LOCKED,1,2.553000,-0.005200,0.004800,0.000700,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
2.008,LOCKED,1,2.529000,-0.003600,0.006200,0.000900,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
3.013,LOCKED,1,2.515000,-0.002500,0.007400,0.001000,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
4.018,LOCKED,1,2.504000,-0.002200,0.008000,0.001200,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
5.022,LOCKED,1,2.495000,-0.001600,0.008900,0.001300,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
6.024,LOCKED,1,2.487000,-0.001500,0.009600,0.001400,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
7.029,LOCKED,1,2.480000,-0.001300,0.010200,0.001500,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
8.034,LOCKED,1,2.474000,-0.001200,0.010700,0.001500,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
9.040,LOCKED,1,2.469000,-0.000900,0.011100,0.001600,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
10.045,LOCKED,1,2.464000,-0.001000,0.011400,0.001600,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
11.051,LOCKED,1,2.459000,-0.000800,0.011700,0.001700,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
12.054,LOCKED,1,2.455000,-0.000700,0.012000,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
13.059,LOCKED,1,2.452000,-0.000700,0.012200,0.001700,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
14.064,LOCKED,1,2.448000,-0.000700,0.012500,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
15.066,LOCKED,1,2.446000,-0.000600,0.012700,0.001700,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
16.071,LOCKED,1,2.443000,-0.000500,0.012600,0.001800,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
17.071,LOCKED,1,2.440000,-0.000500,0.012500,0.001800,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
18.073,LOCKED,1,2.438000,-0.000500,0.012800,0.001800,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
19.073,LOCKED,1,2.436000,-0.000400,0.012900,0.001800,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
20.078,LOCKED,1,2.434000,-0.000400,0.013000,0.001800,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
21.081,LOCKED,1,2.432000,-0.000400,0.013100,0.001800,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
22.086,LOCKED,1,2.430000,-0.000400,0.013300,0.001800,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
23.091,LOCKED,1,2.429000,-0.000300,0.013200,0.001800,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
24.096,LOCKED,1,2.427000,-0.000300,0.013300,0.001800,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
25.099,LOCKED,1,2.426000,-0.000300,0.013100,0.001800,0.966700,5.444000,-2.852000,2.573000,-0.139000,2.573000
26.103,LOCKED,1,2.424000,-0.000100,0.013300,0.001800,0.967100,5.444000,-2.852000,2.573000,-0.139000,2.573000
27.108,LOCKED,1,2.423000,-0.000200,0.013300,0.001800,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
28.108,LOCKED,1,2.421000,-0.000200,0.013400,0.001800,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
29.109,LOCKED,1,2.420000,-0.000200,0.013200,0.001800,0.967300,5.444000,-2.852000,2.573000,-0.139000,2.573000
30.111,LOCKED,1,2.419000,-0.000400,0.013300,0.001700,0.967200,5.444000,-2.852000,2.573000,-0.139000,2.573000
31.113,LOCKED,1,2.418000,-0.000300,0.013300,0.001800,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
32.116,LOCKED,1,2.417000,-0.000100,0.013300,0.001800,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
33.121,LOCKED,1,2.416000,-0.000100,0.013300,0.001700,0.968900,5.444000,-2.852000,2.573000,-0.139000,2.573000
34.126,LOCKED,1,2.414000,-0.000400,0.013100,0.001800,0.968800,5.444000,-2.852000,2.573000,-0.139000,2.573000
35.129,LOCKED,1,2.413000,-0.000300,0.013200,0.001700,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
36.130,LOCKED,1,2.412000,-0.000200,0.013200,0.001700,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
37.132,LOCKED,1,2.411000,-0.000200,0.013300,0.001700,0.968800,5.444000,-2.852000,2.573000,-0.139000,2.573000
38.138,LOCKED,1,2.410000,-0.000100,0.013400,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
39.142,LOCKED,1,2.409000,-0.000200,0.013200,0.001700,0.967100,5.444000,-2.852000,2.573000,-0.139000,2.573000
40.147,LOCKED,1,2.408000,-0.000200,0.013300,0.001700,0.967300,5.444000,-2.852000,2.573000,-0.139000,2.573000
41.154,LOCKED,1,2.407000,-0.000300,0.013300,0.001700,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
42.159,LOCKED,1,2.406000,-0.000200,0.013400,0.001700,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
43.163,LOCKED,1,2.405000,-0.000200,0.013300,0.001700,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
44.163,LOCKED,1,2.404000,-0.000200,0.013300,0.001700,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
45.167,LOCKED,1,2.403000,-0.000100,0.013300,0.001700,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
46.169,LOCKED,1,2.402000,-0.000200,0.013300,0.001700,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
47.172,LOCKED,1,2.401000,-0.000100,0.013200,0.001700,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
48.175,LOCKED,1,2.400000,-0.000200,0.013100,0.001700,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
49.180,LOCKED,1,2.399000,-0.000100,0.013200,0.001700,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
50.184,LOCKED,1,2.399000,-0.000000,0.013300,0.001700,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
51.193,LOCKED,1,2.398000,-0.000100,0.013200,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
52.199,LOCKED,1,2.397000,-0.000100,0.013100,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
53.204,LOCKED,1,2.396000,-0.000200,0.013100,0.001700,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
54.208,LOCKED,1,2.395000,-0.000300,0.012900,0.001700,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
55.214,LOCKED,1,2.395000,-0.000200,0.012900,0.001700,0.967300,5.444000,-2.852000,2.573000,-0.139000,2.573000
56.217,LOCKED,1,2.394000,-0.000200,0.013000,0.001700,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
57.221,LOCKED,1,2.393000,-0.000200,0.013000,0.001700,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
58.222,LOCKED,1,2.392000,-0.000200,0.013000,0.001700,0.968800,5.444000,-2.852000,2.573000,-0.139000,2.573000
59.227,LOCKED,1,2.391000,-0.000200,0.012900,0.001600,0.967200,5.444000,-2.852000,2.573000,-0.139000,2.573000
60.232,LOCKED,1,2.391000,-0.000200,0.012900,0.001600,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
61.233,LOCKED,1,2.390000,-0.000200,0.012900,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
62.234,LOCKED,1,2.389000,-0.000300,0.012900,0.001600,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
63.239,LOCKED,1,2.388000,-0.000200,0.013000,0.001600,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
64.244,LOCKED,1,2.388000,-0.000000,0.013000,0.001600,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
65.249,LOCKED,1,2.387000,-0.000200,0.012800,0.001600,0.967200,5.444000,-2.852000,2.573000,-0.139000,2.573000
66.249,LOCKED,1,2.386000,-0.000200,0.013000,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
67.250,LOCKED,1,2.386000,-0.000100,0.012900,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
68.255,LOCKED,1,2.385000,-0.000200,0.012900,0.001600,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
69.259,LOCKED,1,2.384000,-0.000200,0.012800,0.001600,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
70.263,LOCKED,1,2.383000,-0.000300,0.012800,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
71.269,LOCKED,1,2.383000,-0.000200,0.012800,0.001600,0.968700,5.444000,-2.852000,2.573000,-0.139000,2.573000
72.270,LOCKED,1,2.382000,-0.000100,0.012800,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
73.275,LOCKED,1,2.382000,-0.000100,0.012900,0.001600,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
74.279,LOCKED,1,2.382000,0.000100,0.012900,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
75.282,LOCKED,1,2.381000,-0.000000,0.012800,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
76.287,LOCKED,1,2.380000,0.000000,0.012700,0.001600,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
77.296,LOCKED,1,2.380000,-0.000000,0.012800,0.001600,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
78.301,LOCKED,1,2.379000,0.000000,0.012800,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
79.304,LOCKED,1,2.378000,-0.000000,0.012800,0.001600,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
80.309,LOCKED,1,2.377000,-0.000200,0.012700,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
81.309,LOCKED,1,2.377000,-0.000000,0.012800,0.001600,0.968700,5.444000,-2.852000,2.573000,-0.139000,2.573000
82.317,LOCKED,1,2.376000,-0.000200,0.012700,0.001600,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
83.320,LOCKED,1,2.375000,-0.000300,0.012600,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
84.325,LOCKED,1,2.374000,-0.000200,0.012700,0.001600,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
85.330,LOCKED,1,2.374000,-0.000100,0.012700,0.001600,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
86.335,LOCKED,1,2.373000,-0.000100,0.012700,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
87.340,LOCKED,1,2.373000,-0.000100,0.012800,0.001600,0.969100,5.444000,-2.852000,2.573000,-0.139000,2.573000
88.340,LOCKED,1,2.372000,-0.000100,0.012800,0.001600,0.968700,5.444000,-2.852000,2.573000,-0.139000,2.573000
89.345,LOCKED,1,2.371000,-0.000100,0.012800,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
90.350,LOCKED,1,2.371000,-0.000100,0.012800,0.001600,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
91.355,LOCKED,1,2.370000,-0.000100,0.012800,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
92.361,LOCKED,1,2.369000,-0.000100,0.012800,0.001600,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
93.362,LOCKED,1,2.368000,-0.000200,0.012700,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
94.363,LOCKED,1,2.368000,-0.000200,0.012700,0.001600,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
95.367,LOCKED,1,2.367000,-0.000200,0.012700,0.001600,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
96.371,LOCKED,1,2.367000,-0.000200,0.012700,0.001600,0.967000,5.444000,-2.852000,2.573000,-0.139000,2.573000
97.374,LOCKED,1,2.366000,-0.000200,0.012700,0.001600,0.967500,5.444000,-2.852000,2.573000,-0.139000,2.573000
98.375,LOCKED,1,2.365000,-0.000100,0.012700,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
99.386,LOCKED,1,2.364000,-0.000100,0.012800,0.001600,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
100.386,LOCKED,1,2.364000,-0.000100,0.012800,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
101.390,LOCKED,1,2.363000,-0.000200,0.012700,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
102.392,LOCKED,1,2.363000,-0.000200,0.012700,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
103.394,LOCKED,1,2.362000,-0.000100,0.012800,0.001600,0.968900,5.444000,-2.852000,2.573000,-0.139000,2.573000
104.399,LOCKED,1,2.362000,-0.000100,0.012800,0.001600,0.968200,5.444000,-2.852000,2.573000,-0.139000,2.573000
105.400,LOCKED,1,2.361000,-0.000200,0.012800,0.001600,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
106.404,LOCKED,1,2.360000,-0.000100,0.012800,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
107.407,LOCKED,1,2.359000,-0.000200,0.012800,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
108.408,LOCKED,1,2.359000,-0.000200,0.012800,0.001600,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
109.413,LOCKED,1,2.358000,-0.000300,0.012900,0.001600,0.968100,5.444000,-2.852000,2.573000,-0.139000,2.573000
110.417,LOCKED,1,2.357000,-0.000200,0.013000,0.001600,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
111.422,LOCKED,1,2.356000,-0.000100,0.012900,0.001600,0.968900,5.444000,-2.852000,2.573000,-0.139000,2.573000
112.426,LOCKED,1,2.356000,0.000000,0.013000,0.001600,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
113.427,LOCKED,1,2.355000,-0.000100,0.013000,0.001600,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
114.432,LOCKED,1,2.354000,-0.000000,0.013000,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
115.436,LOCKED,1,2.353000,-0.000200,0.012900,0.001600,0.968800,5.444000,-2.852000,2.573000,-0.139000,2.573000
116.441,LOCKED,1,2.353000,-0.000100,0.013000,0.001600,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
117.446,LOCKED,1,2.352000,-0.000100,0.013100,0.001600,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
118.451,LOCKED,1,2.352000,-0.000100,0.013200,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
119.456,LOCKED,1,2.351000,-0.000300,0.013000,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
120.461,LOCKED,1,2.350000,-0.000200,0.013100,0.001600,0.967800,5.444000,-2.852000,2.573000,-0.139000,2.573000
121.466,LOCKED,1,2.350000,-0.000200,0.013000,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
122.468,LOCKED,1,2.349000,-0.000100,0.013100,0.001600,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
123.472,LOCKED,1,2.349000,-0.000100,0.013200,0.001600,0.968700,5.444000,-2.852000,2.573000,-0.139000,2.573000
124.478,LOCKED,1,2.348000,-0.000100,0.013200,0.001600,0.968900,5.444000,-2.852000,2.573000,-0.139000,2.573000
125.481,LOCKED,1,2.348000,-0.000100,0.013200,0.001600,0.969000,5.444000,-2.852000,2.573000,-0.139000,2.573000
126.482,LOCKED,1,2.347000,-0.000100,0.013200,0.001600,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
127.486,LOCKED,1,2.347000,-0.000100,0.013200,0.001600,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
128.491,LOCKED,1,2.346000,-0.000100,0.013200,0.001700,0.968000,5.444000,-2.852000,2.573000,-0.139000,2.573000
129.496,LOCKED,1,2.345000,-0.000100,0.013200,0.001700,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
130.499,LOCKED,1,2.345000,-0.000100,0.013300,0.001700,0.967900,5.444000,-2.852000,2.573000,-0.139000,2.573000
131.504,LOCKED,1,2.344000,-0.000100,0.013300,0.001700,0.968400,5.444000,-2.852000,2.573000,-0.139000,2.573000
132.505,LOCKED,1,2.343000,-0.000200,0.013200,0.001700,0.968800,5.444000,-2.852000,2.573000,-0.139000,2.573000
133.506,LOCKED,1,2.343000,-0.000100,0.013300,0.001700,0.968300,5.444000,-2.852000,2.573000,-0.139000,2.573000
134.511,LOCKED,1,2.342000,-0.000100,0.013400,0.001700,0.969200,5.444000,-2.852000,2.573000,-0.139000,2.573000
135.515,LOCKED,1,2.342000,-0.000100,0.013300,0.001700,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
136.519,LOCKED,1,2.341000,-0.000100,0.013400,0.001700,0.968500,5.444000,-2.852000,2.573000,-0.139000,2.573000
137.520,LOCKED,1,2.340000,-0.000200,0.013200,0.001700,0.967700,5.444000,-2.852000,2.573000,-0.139000,2.573000
138.525,LOCKED,1,2.340000,-0.000100,0.013400,0.001700,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
139.525,LOCKED,1,2.339000,-0.000100,0.013400,0.001700,0.968600,5.444000,-2.852000,2.573000,-0.139000,2.573000
140.530,LOCKED,1,2.339000,-0.000000,0.013500,0.001700,0.967600,5.444000,-2.852000,2.573000,-0.139000,2.573000
