t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v
0.000,LOCKED,1,2.259000,0.000000,0.001700,0.000900,0.820400,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,-0.272900
1.001,LOCKED,1,2.766000,0.001700,0.013000,0.001300,1.092200,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,-0.001080
2.011,LOCKED,1,2.450000,-0.002700,0.010300,0.001700,1.092600,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,-0.000630
3.015,LOCKED,1,2.596000,0.004900,0.002400,0.001700,1.095500,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002230
4.018,LOCKED,1,2.496000,-0.007400,0.003600,0.001700,1.094600,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.001280
5.028,LOCKED,1,2.532000,0.003600,0.004500,0.001600,1.095100,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.001800
6.039,LOCKED,1,2.501000,-0.003900,0.003400,0.001600,1.094400,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.001160
7.045,LOCKED,1,2.504000,0.001500,0.004500,0.001700,1.094700,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.001400
8.053,LOCKED,1,2.491000,-0.002300,0.003700,0.001700,1.095300,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002010
9.058,LOCKED,1,2.488000,0.000300,0.004400,0.001700,1.095400,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002170
10.061,LOCKED,1,2.482000,-0.000900,0.004000,0.001700,1.095500,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002190
11.065,LOCKED,1,2.476000,-0.000100,0.004300,0.001700,1.095600,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002350
12.065,LOCKED,1,2.472000,-0.000600,0.004000,0.001700,1.095400,5.454000,-3.165000,2.259000,-0.453000,2.259000,1.093270,0.002140
