t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKING,0,2.640000,0.000000,0.001800,0.000800,0.908600,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.000000,-1.000000,3.141600,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.000000,1.635000,0,1,-0.000600,1.075900,133.5651
0.503,LOCKED,1,2.648000,0.003100,0.002200,0.001100,1.075800,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,0.003100,-1.000000,3.138500,0.003100,0.000000,0.003100,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.008100,1.635000,0,3,-0.000600,1.075900,178.8955
1.006,LOCKED,1,2.653000,0.002500,0.000900,0.001400,1.076000,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,0.001200,-1.000000,3.140400,0.001200,0.000000,0.001200,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.013000,1.635000,0,6,-0.000600,1.075900,180.0000
1.510,LOCKED,1,2.647000,-0.002300,0.000100,0.001400,1.075900,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.002300,-1.000000,3.143900,-0.002300,0.000000,-0.002300,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.006700,1.635000,0,8,-0.000600,1.075900,180.0000
2.012,LOCKED,1,2.628000,-0.005000,0.000300,0.001500,1.075200,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.005700,-1.000000,3.147300,-0.005700,0.000000,-0.005700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.011400,1.635000,0,11,-0.000600,1.075900,177.0776
2.517,LOCKED,1,2.617000,-0.005500,0.000200,0.001500,1.074500,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.005500,-1.000000,3.147100,-0.005500,0.000000,-0.005500,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.022500,1.635000,0,13,-0.000600,1.075900,175.8666
3.022,LOCKED,1,2.610000,-0.002400,0.001200,0.001600,1.074700,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.002400,-1.000000,3.144000,-0.002400,0.000000,-0.002400,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.030100,1.635000,0,16,-0.000600,1.075900,176.1734
3.526,LOCKED,1,2.611000,-0.000000,0.001700,0.001600,1.075500,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,-0.000000,-1.000000,3.141600,-0.000000,0.000000,-0.000000,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.028900,1.635000,0,18,-0.000600,1.075900,177.7910
4.029,LOCKED,1,2.617000,0.001700,0.001600,0.001600,1.075600,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,0.001700,-1.000000,3.139900,0.001700,0.000000,0.001700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.023300,1.635000,0,21,-0.000600,1.075900,178.0869
4.532,LOCKED,1,2.619000,0.001200,0.001200,0.001600,1.074900,5.450000,-2.810000,2.640000,-0.085000,2.640000,nan,nan,0.001200,-1.000000,3.140400,0.001200,0.000000,0.001200,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.021000,1.635000,0,23,-0.000600,1.075900,176.5069
