t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v
0.000,LOCKING,0,-2.852000,0.000000,0.000000,0.000000,0.353100,5.444000,-2.852000,2.573000,-0.139000,-2.852000
1.004,LOCKING,0,-2.913000,0.041100,0.026400,0.000400,0.001300,5.444000,-2.852000,2.573000,-0.139000,-2.852000
2.009,LOCKED,1,-3.021000,-0.001400,0.007100,0.000700,-0.000900,5.444000,-2.852000,2.573000,-0.139000,-2.852000
3.012,LOCKED,1,-3.018000,0.000800,0.005200,0.000900,-0.001200,5.444000,-2.852000,2.573000,-0.139000,-2.852000
4.017,LOCKED,1,-3.012000,0.001300,0.004400,0.001100,-0.001300,5.444000,-2.852000,2.573000,-0.139000,-2.852000
5.022,LOCKED,1,-3.005000,0.001400,0.004000,0.001200,-0.001400,5.444000,-2.852000,2.573000,-0.139000,-2.852000
6.023,LOCKED,1,-2.998000,0.001400,0.003800,0.001300,-0.001400,5.444000,-2.852000,2.573000,-0.139000,-2.852000
7.028,LOCKED,1,-2.991000,0.001400,0.003700,0.001400,-0.001400,5.444000,-2.852000,2.573000,-0.139000,-2.852000
8.030,LOCKED,1,-2.984000,0.001300,0.003800,0.001400,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
9.035,LOCKED,1,-2.978000,0.001200,0.003800,0.001500,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
10.037,LOCKED,1,-2.972000,0.001200,0.003900,0.001500,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
11.038,LOCKED,1,-2.966000,0.001100,0.004000,0.001600,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
12.041,LOCKED,1,-2.961000,0.001000,0.004100,0.001600,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
13.043,LOCKED,1,-2.956000,0.001000,0.004100,0.001600,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
14.045,LOCKED,1,-2.952000,0.000900,0.004200,0.001600,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
15.050,LOCKED,1,-2.947000,0.000900,0.004300,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
16.057,LOCKED,1,-2.943000,0.000800,0.004400,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
17.058,LOCKED,1,-2.939000,0.000800,0.004400,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
18.059,LOCKED,1,-2.935000,0.000800,0.004500,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
19.060,LOCKED,1,-2.932000,0.000700,0.004600,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
20.065,LOCKED,1,-2.928000,0.000700,0.004600,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
21.066,LOCKED,1,-2.925000,0.000700,0.004700,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
22.069,LOCKED,1,-2.922000,0.000600,0.004700,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
23.074,LOCKED,1,-2.918000,0.000600,0.004800,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
24.078,LOCKED,1,-2.915000,0.000600,0.004800,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
25.083,LOCKED,1,-2.913000,0.000600,0.004900,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
26.090,LOCKED,1,-2.910000,0.000600,0.004900,0.001700,-0.001500,5.444000,-2.852000,2.573000,-0.139000,-2.852000
