t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v
0.000,LOCKED,1,-3.165000,0.000000,0.000000,0.000000,0.116400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,0.115420
1.000,LOCKED,1,-3.069000,0.012800,0.004500,0.001600,-0.000700,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.001730
2.005,LOCKED,1,-3.062000,-0.003800,0.000700,0.001700,-0.001200,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002180
3.009,LOCKED,1,-3.074000,0.001400,0.003000,0.001700,-0.001300,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002260
4.014,LOCKED,1,-3.051000,0.001400,0.001500,0.001700,-0.001400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002360
5.019,LOCKED,1,-3.053000,-0.000200,0.001500,0.001700,-0.001400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002390
6.021,LOCKED,1,-3.047000,0.000800,0.001800,0.001700,-0.001400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002410
7.024,LOCKED,1,-3.043000,0.000600,0.001700,0.001700,-0.001400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002430
8.029,LOCKED,1,-3.039000,0.000300,0.001600,0.001700,-0.001400,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002440
9.033,LOCKED,1,-3.036000,0.000300,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002450
10.038,LOCKED,1,-3.033000,0.000300,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002460
11.044,LOCKED,1,-3.030000,0.000200,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002470
12.050,LOCKED,1,-3.028000,0.000300,0.001300,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002480
13.053,LOCKED,1,-3.025000,0.000400,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002480
14.054,LOCKED,1,-3.023000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002490
15.059,LOCKED,1,-3.021000,0.000200,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002490
16.062,LOCKED,1,-3.019000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002490
17.066,LOCKED,1,-3.017000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002500
18.067,LOCKED,1,-3.015000,0.000400,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002490
19.072,LOCKED,1,-3.012000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002500
20.077,LOCKED,1,-3.011000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002500
21.081,LOCKED,1,-3.009000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002500
22.083,LOCKED,1,-3.008000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002510
23.088,LOCKED,1,-3.007000,0.000100,0.001700,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002500
24.092,LOCKED,1,-3.004000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002510
25.097,LOCKED,1,-3.003000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
26.102,LOCKED,1,-3.001000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
27.105,LOCKED,1,-3.000000,0.000200,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
28.110,LOCKED,1,-2.998000,0.000100,0.001400,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
29.115,LOCKED,1,-2.996000,0.000300,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
30.115,LOCKED,1,-2.995000,-0.000000,0.001400,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
31.118,LOCKED,1,-2.995000,0.000200,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
32.121,LOCKED,1,-2.993000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
33.123,LOCKED,1,-2.992000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
34.124,LOCKED,1,-2.991000,0.000300,0.001600,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002520
35.130,LOCKED,1,-2.989000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002530
36.133,LOCKED,1,-2.988000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002530
37.137,LOCKED,1,-2.987000,0.000100,0.001500,0.001700,-0.001500,5.454000,-3.165000,2.259000,-0.453000,-3.165000,0.000990,-0.002530
