t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKING,0,-2.810000,0.000000,0.000000,0.000000,0.360400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,0,0.000000,0.000000,1.635000,0,0,-0.000600,1.075900,70.7732
0.505,LOCKED,1,-2.848000,-0.019000,0.006200,0.000700,0.008800,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.019000,0.999800,0.019000,-0.019000,0.000000,-0.019000,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.038000,1.635000,0,2,-0.000600,1.075900,10.7237
1.008,LOCKED,1,-2.935000,-0.036800,0.004900,0.001100,-0.000500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.034400,0.999400,0.034400,-0.034400,0.000000,-0.034400,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.156700,1.635000,0,5,-0.000600,1.075900,1.1045
1.513,LOCKED,1,-2.991000,-0.016100,0.000800,0.001300,-0.000500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.016100,0.999900,0.016100,-0.016100,0.000000,-0.016100,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.181300,1.635000,0,7,-0.000600,1.075900,1.1045
2.017,LOCKED,1,-2.941000,0.006800,0.006400,0.001500,-0.000700,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.016100,0.999900,-0.016100,0.016100,0.000000,0.016100,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.130700,1.635000,0,10,-0.000600,1.075900,0.0000
2.522,LOCKED,1,-2.881000,0.026600,0.006000,0.001500,-0.001100,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.026600,0.999600,-0.026600,0.026600,0.000000,0.026600,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.070700,1.635000,0,12,-0.000600,1.075900,0.0000
3.027,LOCKED,1,-2.816000,0.019800,0.000600,0.001600,-0.001200,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.019800,0.999800,-0.019800,0.019800,0.000000,0.019800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.006200,1.635000,0,15,-0.000600,1.075900,0.0000
3.532,LOCKED,1,-2.810000,0.006500,0.003300,0.001600,-0.001000,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.006500,1.000000,-0.006500,0.006500,0.000000,0.006500,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.000400,1.635000,0,17,-0.000600,1.075900,0.0000
4.037,LOCKED,1,-2.843000,-0.010400,0.005700,0.001600,-0.001200,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.010400,0.999900,0.010400,-0.010400,0.000000,-0.010400,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.033200,1.635000,0,20,-0.000600,1.075900,0.0000
4.542,LOCKED,1,-2.874000,-0.013800,0.004600,0.001600,-0.001400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.013800,0.999900,0.013800,-0.013800,0.000000,-0.013800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.063500,1.635000,0,22,-0.000600,1.075900,0.0000
5.044,LOCKED,1,-2.896000,-0.006700,0.000800,0.001600,-0.001300,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.006700,1.000000,0.006700,-0.006700,0.000000,-0.006700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.086100,1.635000,1,25,-0.000600,1.075900,0.0000
5.545,LOCKED,1,-2.889000,0.001800,0.001500,0.001700,-0.001300,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.001800,1.000000,-0.001800,0.001800,0.000000,0.001800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.078500,1.635000,1,27,-0.000600,1.075900,0.0000
6.050,LOCKED,1,-2.854000,0.010700,0.002300,0.001700,-0.001400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.010700,0.999900,-0.010700,0.010700,0.000000,0.010700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.044200,1.635000,1,30,-0.000600,1.075900,0.0000
6.552,LOCKED,1,-2.831000,0.011100,0.001100,0.001700,-0.001400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.011100,0.999900,-0.011100,0.011100,0.000000,0.011100,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.021300,1.635000,1,32,-0.000600,1.075900,0.0000
7.058,LOCKED,1,-2.816000,0.004800,0.001400,0.001600,-0.001400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.004800,1.000000,-0.004800,0.004800,0.000000,0.004800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.005600,1.635000,1,35,-0.000600,1.075900,0.0000
7.563,LOCKED,1,-2.820000,-0.000700,0.002700,0.001600,-0.001400,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.000700,1.000000,0.000700,-0.000700,0.000000,-0.000700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.009800,1.635000,1,37,-0.000600,1.075900,0.0000
8.068,LOCKED,1,-2.837000,-0.005300,0.002700,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.005300,1.000000,0.005300,-0.005300,0.000000,-0.005300,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.027100,1.635000,1,40,-0.000600,1.075900,0.0000
8.570,LOCKED,1,-2.847000,-0.004700,0.001900,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.004700,1.000000,0.004700,-0.004700,0.000000,-0.004700,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.036600,1.635000,1,42,-0.000600,1.075900,0.0000
9.070,LOCKED,1,-2.847000,-0.000100,0.000200,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.000100,1.000000,0.000100,-0.000100,0.000000,-0.000100,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.037300,1.635000,1,45,-0.000600,1.075900,0.0000
9.575,LOCKED,1,-2.839000,0.003200,0.000300,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.003200,1.000000,-0.003200,0.003200,0.000000,0.003200,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.029100,1.635000,1,47,-0.000600,1.075900,0.0000
10.080,LOCKED,1,-2.823000,0.005200,0.000100,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.005200,1.000000,-0.005200,0.005200,0.000000,0.005200,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.012600,1.635000,1,50,-0.000600,1.075900,0.0000
10.585,LOCKED,1,-2.815000,0.004000,0.000600,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.004000,1.000000,-0.004000,0.004000,0.000000,0.004000,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.003000,1.635000,1,53,-0.000600,1.075900,0.0000
11.088,LOCKED,1,-2.814000,0.000400,0.001600,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.000400,1.000000,-0.000400,0.000400,0.000000,0.000400,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.003500,1.635000,1,55,-0.000600,1.075900,0.0000
11.591,LOCKED,1,-2.818000,-0.001600,0.001800,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.002000,1.000000,0.002000,-0.001600,0.000000,-0.001600,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.010300,1.635000,1,58,-0.000600,1.075900,0.0000
12.091,LOCKED,1,-2.824000,-0.001800,0.001300,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.001800,1.000000,0.001800,-0.001800,0.000000,-0.001800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.013900,1.635000,1,60,-0.000600,1.075900,0.0000
12.591,LOCKED,1,-2.824000,-0.000500,0.000800,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.000300,1.000000,-0.000300,-0.000500,0.000000,-0.000500,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.013200,1.635000,1,63,-0.000600,1.075900,0.0000
13.096,LOCKED,1,-2.819000,0.001800,0.000400,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.001800,1.000000,-0.001800,0.001800,0.000000,0.001800,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.008800,1.635000,1,65,-0.000600,1.075900,0.0000
13.601,LOCKED,1,-2.813000,0.002600,0.000400,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.002600,1.000000,-0.002600,0.002600,0.000000,0.002600,0.000000,0.000000,1,0,1,1,1,1,1.000000,-0.000500,1.635000,1,68,-0.000600,1.075900,0.0000
14.103,LOCKED,1,-2.807000,0.002100,0.000800,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.002100,1.000000,-0.002100,0.002100,0.000000,0.002100,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.003400,1.635000,1,70,-0.000600,1.075900,0.0000
14.608,LOCKED,1,-2.805000,0.001000,0.001300,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.000400,1.000000,-0.000400,0.000400,0.000000,0.000400,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.004800,1.635000,1,73,-0.000600,1.075900,0.0000
15.113,LOCKED,1,-2.807000,-0.000400,0.001300,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.000400,1.000000,0.000400,-0.000400,0.000000,-0.000400,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.003600,1.635000,1,75,-0.000600,1.075900,0.0000
15.618,LOCKED,1,-2.808000,-0.000600,0.001200,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,0.000500,1.000000,0.000500,-0.000500,0.000000,-0.000500,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.001900,1.635000,1,78,-0.000600,1.075900,0.0000
16.121,LOCKED,1,-2.808000,0.000000,0.001000,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.002200,1.635000,1,80,-0.000600,1.075900,0.0000
16.625,LOCKED,1,-2.805000,0.001000,0.000800,0.001600,-0.001500,5.450000,-2.810000,2.640000,-0.085000,-2.810000,nan,nan,-0.001000,1.000000,-0.001000,0.001000,0.000000,0.001000,0.000000,0.000000,1,0,1,1,1,1,1.000000,0.005200,1.635000,1,83,-0.000600,1.075900,0.0000
