t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v
0.000,LOCKING,0,-0.139000,0.000000,0.000000,0.003800,0.656100,5.444000,-2.852000,2.573000,-0.139000,-0.139000
1.003,LOCKING,0,1.234000,0.469500,0.111100,0.002800,0.783000,5.444000,-2.852000,2.573000,-0.139000,-0.139000
2.004,LOCKING,0,2.123000,0.484900,0.037300,0.001800,0.831300,5.444000,-2.852000,2.573000,-0.139000,-0.139000
3.009,LOCKING,0,0.098000,0.500500,0.032500,0.001100,0.694400,5.444000,-2.852000,2.573000,-0.139000,-0.139000
4.010,LOCKING,0,2.370000,0.404300,0.018800,0.000600,0.877800,5.444000,-2.852000,2.573000,-0.139000,-0.139000
5.012,LOCKING,0,0.331000,0.553200,0.064500,0.000500,0.735200,5.444000,-2.852000,2.573000,-0.139000,-0.139000
6.014,LOCKING,0,2.478000,0.432700,0.018800,0.000100,0.953300,5.444000,-2.852000,2.573000,-0.139000,-0.139000
7.015,LOCKING,0,0.611000,-1.000000,0.072200,0.000100,0.953900,5.444000,-2.852000,2.573000,-0.139000,-0.139000
8.019,LOCKING,0,0.891000,-0.125400,0.203400,0.000300,0.792800,5.444000,-2.852000,2.573000,-0.139000,-0.139000
9.020,LOCKING,0,0.073000,-0.158900,0.253800,0.000300,0.609900,5.444000,-2.852000,2.573000,-0.139000,-0.139000
10.028,LOCKING,0,-0.685000,-0.151800,0.254000,0.000100,0.396800,5.444000,-2.852000,2.573000,-0.139000,-0.139000
11.034,LOCKING,0,-1.498000,-0.176500,0.203500,0.000200,0.202700,5.444000,-2.852000,2.573000,-0.139000,-0.139000
12.039,LOCKING,0,-2.083000,-0.093700,0.117700,0.000400,0.063800,5.444000,-2.852000,2.573000,-0.139000,-0.139000
13.040,LOCKING,0,-1.466000,0.181300,0.159100,0.000500,0.090100,5.444000,-2.852000,2.573000,-0.139000,-0.139000
14.044,LOCKING,0,-0.690000,0.157800,0.241100,0.000400,0.268000,5.444000,-2.852000,2.573000,-0.139000,-0.139000
15.045,LOCKING,0,0.057000,0.144400,0.264500,0.000200,0.473900,5.444000,-2.852000,2.573000,-0.139000,-0.139000
16.050,LOCKING,0,0.843000,0.155300,0.236300,0.000200,0.682200,5.444000,-2.852000,2.573000,-0.139000,-0.139000
17.052,LOCKING,0,1.609000,0.145300,0.159500,0.000300,0.856800,5.444000,-2.852000,2.573000,-0.139000,-0.139000
18.058,LOCKING,0,1.962000,-0.042800,0.063600,0.000500,0.950400,5.444000,-2.852000,2.573000,-0.139000,-0.139000
19.063,LOCKING,0,0.956000,-0.187800,0.191100,0.000500,0.820900,5.444000,-2.852000,2.573000,-0.139000,-0.139000
20.068,LOCKING,0,-0.139000,0.403300,0.142000,0.002700,0.553100,5.444000,-2.852000,2.573000,-0.139000,-0.139000
21.073,LOCKING,0,1.337000,0.367700,0.186400,0.002000,0.732500,5.444000,-2.852000,2.573000,-0.139000,-0.139000
