t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v
0.000,LOCKED,1,-0.453000,0.000500,0.273900,0.001800,0.512400,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.043070
1.000,LOCKED,1,-0.445000,0.004700,0.274200,0.002000,0.513700,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.041830
2.001,LOCKED,1,-0.429000,0.007900,0.276100,0.002600,0.518800,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.036760
3.004,LOCKED,1,-0.406000,0.009900,0.279800,0.001600,0.525900,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.029660
4.009,LOCKED,1,-0.379000,0.010600,0.282100,0.000400,0.534100,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.021400
5.013,LOCKED,1,-0.354000,0.010000,0.280800,0.001200,0.542400,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.013160
6.017,LOCKED,1,-0.331000,0.008300,0.277100,0.002400,0.549900,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.005660
7.022,LOCKED,1,-0.314000,0.005700,0.275300,0.001200,0.555400,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.000070
8.027,LOCKED,1,-0.304000,0.002800,0.274900,0.000400,0.559300,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,0.003750
9.032,LOCKED,1,-0.301000,-0.000200,0.274900,0.001100,0.560600,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,0.005040
10.039,LOCKED,1,-0.306000,-0.002900,0.274700,0.001000,0.559300,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,0.003760
11.039,LOCKED,1,-0.317000,-0.005000,0.274500,0.000200,0.556100,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,0.000630
12.048,LOCKED,1,-0.331000,-0.006300,0.275000,0.001600,0.551200,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.004370
13.053,LOCKED,1,-0.348000,-0.006800,0.276500,0.002500,0.546200,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.009280
14.055,LOCKED,1,-0.365000,-0.006500,0.279900,0.001700,0.541300,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.014260
15.056,LOCKED,1,-0.380000,-0.005600,0.281800,0.000400,0.536000,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.019510
16.058,LOCKED,1,-0.392000,-0.004000,0.282200,0.000200,0.532100,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.023440
17.061,LOCKED,1,-0.399000,-0.002100,0.282100,0.000500,0.529700,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.025850
18.066,LOCKED,1,-0.401000,-0.000200,0.281900,0.000500,0.528800,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.026690
19.066,LOCKED,1,-0.399000,0.001600,0.281800,0.000500,0.529200,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.026320
20.072,LOCKED,1,-0.392000,0.003200,0.282100,0.000500,0.531300,5.454000,-3.165000,2.259000,-0.453000,-0.453000,0.555520,-0.024190
