t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKED,1,-0.085000,0.000000,0.276700,0.000900,0.541000,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,1.000000,-0.000000,1.570800,0.000000,-0.006300,0.000000,-0.000000,0.000000,1,0,1,1,1,1,1.000000,0.000000,1.635000,0,1,-0.000600,1.075900,90.3566
0.505,LOCKED,1,-0.085000,0.000800,0.276700,0.000700,0.534900,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,1.000000,0.005600,1.565200,0.005600,0.005100,0.000800,-0.000000,0.000000,1,0,1,1,1,1,1.000000,0.000200,1.635000,0,3,-0.000600,1.075900,89.7073
1.009,LOCKED,1,-0.084000,0.002400,0.276700,0.000600,0.536300,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999900,0.013400,1.557400,0.013400,0.002600,0.002500,-0.000100,0.000000,1,0,1,1,1,1,1.000000,0.001200,1.635000,0,6,-0.000600,1.075900,89.8563
1.514,LOCKED,1,-0.083000,0.002300,0.276800,0.000500,0.537200,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999800,0.018200,1.552600,0.018200,0.000800,0.002500,-0.000200,0.000000,1,0,1,1,1,1,1.000000,0.001900,1.635000,0,8,-0.000600,1.075900,89.9521
2.017,LOCKED,1,-0.082000,0.002100,0.276900,0.000400,0.537800,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999700,0.024900,1.545900,0.024900,-0.000200,0.002400,-0.000300,0.000000,1,0,1,1,1,1,1.000000,0.002900,1.635000,0,11,-0.000600,1.075900,90.0160
2.520,LOCKED,1,-0.082000,0.002000,0.277000,0.000400,0.538100,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999600,0.029200,1.541600,0.029200,-0.000800,0.002400,-0.000400,0.000000,1,0,1,1,1,1,1.000000,0.003500,1.635000,0,13,-0.000600,1.075900,90.0479
3.026,LOCKED,1,-0.081000,0.001900,0.277100,0.000400,0.538700,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999400,0.035600,1.535200,0.035600,-0.001900,0.002300,-0.000500,0.000000,1,0,1,1,1,1,1.000000,0.004400,1.635000,0,16,-0.000600,1.075900,90.1118
3.533,LOCKED,1,-0.080000,0.001800,0.277200,0.000300,0.538900,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999200,0.039600,1.531200,0.039600,-0.002200,0.002300,-0.000500,0.000000,1,0,1,1,1,1,1.000000,0.005200,1.635000,0,19,-0.000600,1.075900,90.1331
4.038,LOCKED,1,-0.080000,0.001600,0.277100,0.000400,0.539200,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.999000,0.045500,1.525200,0.045500,-0.002700,0.002200,-0.000600,0.000000,1,0,1,1,1,1,1.000000,0.005600,1.635000,0,21,-0.000600,1.075900,90.1650
4.541,LOCKED,1,-0.079000,0.001500,0.277100,0.000300,0.539300,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.998700,0.051500,1.519300,0.051500,-0.002900,0.002100,-0.000700,0.000000,1,0,1,1,1,1,1.000000,0.006300,1.635000,0,24,-0.000600,1.075900,90.1756
5.041,LOCKED,1,-0.078000,0.001400,0.277200,0.000300,0.539600,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.998500,0.055400,1.515300,0.055400,-0.003600,0.002100,-0.000700,0.000000,1,0,1,1,1,1,1.000000,0.006700,1.635000,1,26,-0.000600,1.075900,90.2076
5.544,LOCKED,1,-0.078000,0.001300,0.277200,0.000300,0.540200,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.998100,0.061200,1.509600,0.061200,-0.004700,0.002100,-0.000800,0.000000,1,0,1,1,1,1,1.000000,0.007300,1.635000,1,29,-0.000600,1.075900,90.2714
6.047,LOCKED,1,-0.077000,0.001200,0.277300,0.000300,0.540300,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.997900,0.065100,1.505600,0.065100,-0.004900,0.002000,-0.000800,0.000000,1,0,1,1,1,1,1.000000,0.007700,1.635000,1,31,-0.000600,1.075900,90.2821
6.552,LOCKED,1,-0.077000,0.001100,0.277300,0.000300,0.540200,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.997500,0.070600,1.500200,0.070600,-0.004800,0.002000,-0.000900,0.000000,1,0,1,1,1,1,1.000000,0.008200,1.635000,1,34,-0.000600,1.075900,90.2714
7.056,LOCKED,1,-0.077000,0.001000,0.277300,0.000300,0.540500,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.997200,0.074200,1.496500,0.074200,-0.005300,0.002000,-0.000900,0.000000,1,0,1,1,1,1,1.000000,0.008500,1.635000,1,36,-0.000600,1.075900,90.3034
7.561,LOCKED,1,-0.076000,0.001000,0.277400,0.000300,0.540500,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.996800,0.079700,1.491000,0.079700,-0.005300,0.001900,-0.001000,0.000000,1,0,1,1,1,1,1.000000,0.008900,1.635000,1,39,-0.000600,1.075900,90.3034
8.063,LOCKED,1,-0.076000,0.000900,0.277300,0.000200,0.540500,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.996500,0.083200,1.487500,0.083200,-0.005300,0.001900,-0.001000,0.000000,1,0,1,1,1,1,1.000000,0.009200,1.635000,1,41,-0.000600,1.075900,90.3034
8.568,LOCKED,1,-0.076000,0.000800,0.277400,0.000200,0.540400,5.450000,-2.810000,2.640000,-0.085000,-0.085000,nan,nan,0.996100,0.088100,1.482600,0.088100,-0.005100,0.001800,-0.001000,0.000000,1,0,1,1,1,1,1.000000,0.009600,1.635000,1,44,-0.000600,1.075900,90.2927
